,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,security_cpu,security_rx,security_tx,label,class
38,0.011434454661425,0.3665973665973666,0.2601010101010101,0.0005715479170716,0.0,0.0,1.26635968577786e-05,0.3401098901098901,0.20942140296979,0.1490464643169192,0.0,0.0,0.0697949140249387,0.8410404624277457,0.9197952218430034,0.0731488975842188,0.9081145584725536,0.9691338073691016,0,2
39,0.0168738173750625,0.0,0.0,0.0065620517923502,0.8270676691729323,0.7421875,1.2950206147924326e-05,0.0,0.4838709677419355,0.1046305881391412,0.2272727272727272,0.37109375,0.0697949140249387,0.8410404624277457,0.9197952218430034,0.0027027574206747,0.0459427207637231,0.0153522947640594,0,2
40,0.0168738173750625,0.0,0.0,0.0065620517923502,0.8270676691729323,0.7421875,1.2950206147924326e-05,0.0,0.4838709677419355,0.1778850799789578,0.0,0.0,0.0029846333702346,0.0,0.0,0.0027027574206747,0.0459427207637231,0.0153522947640594,0,2
69,0.0083844675308684,0.0,0.0,0.0061548800013625,0.8270676691729323,0.7421875,4.413790396530813e-06,0.0,0.0,0.1711450383469245,0.4545454545454545,0.7421875,0.0097852721844768,0.0,0.0,0.0034141661253604,0.0459427207637231,0.0153522947640594,0,3
70,0.0142191566779312,0.2668052668052668,0.4797979797979798,0.0061548800013625,0.8270676691729323,0.7421875,3.447732904469052e-06,0.0,0.0,0.1711450383469245,0.4545454545454545,0.7421875,0.0019333989897995,0.0,0.0,0.0034141661253604,0.0459427207637231,0.0153522947640594,0,2
89,0.0091947684813154,0.0,0.0,0.0049430146180332,0.8270676691729323,0.7421875,4.159511064239675e-06,0.0,0.0,0.1786732381123529,0.4545454545454545,0.7421875,0.0018347059871938,0.0,0.0,0.0025795233223693,0.0,0.0,0,3
98,0.0043151345332352,0.0,0.0,0.0020630276341789,0.0,0.0,3.930986995313842e-05,0.6802197802197802,0.901689708141321,0.2009158444404286,0.0,0.0,0.0728499241636384,0.8410404624277457,0.919368600682594,0.0074493884692759,0.0,0.0,0,2
99,0.0119563986508357,0.4109494109494109,0.3434343434343435,0.0020848310475642,0.4135338345864661,0.37109375,3.930986995313842e-05,0.6802197802197802,0.901689708141321,0.2009158444404286,0.0,0.0,0.0728499241636384,0.8410404624277457,0.919368600682594,0.0377032424796697,0.4540572792362768,0.4845669036845507,0,2
109,0.0078453430350792,0.0,0.0,0.0051324732282594,0.8270676691729323,0.7421875,4.299353093879301e-06,0.0,0.0,0.1856490907626225,0.4545454545454545,0.7421875,0.0064101630600339,0.0,0.0,0.0017328268284507,0.0,0.0,0,3
160,0.0043164608559897,0.3665973665973666,0.2601010101010101,0.0025532032439841,0.4135338345864661,0.37109375,1.5513970584411966e-05,0.3401098901098901,0.4508448540706605,0.2465734130111073,0.4545454545454545,0.7421875,0.0073437525543893,0.0,0.4453924914675768,0.0359571304893694,0.4763723150357995,0.4839204912734324,0,2
199,0.0109013860113911,0.0,0.0,0.005879170596871,0.8270676691729323,0.7421875,2.6923025839986605e-06,0.0,0.0,0.2141842337222149,0.4545454545454545,0.7421875,0.0072372388775924,0.0,0.0,0.0045453658661626,0.0,0.0,0,3
219,0.0059031335701398,0.0,0.0,0.0030971973381049,0.4135338345864661,0.37109375,3.2681104922331315e-05,0.6802197802197802,0.4188428059395801,0.1882627745343527,0.4545454545454545,0.7421875,0.0626808530906718,0.8410404624277457,0.4744027303754266,0.0054784326440453,0.0,0.0,0,2
220,0.0217851391272471,1.0,1.0,0.0070791821126679,0.0,0.0,3.2681104922331315e-05,0.6802197802197802,0.4188428059395801,0.0788628750554985,0.0,0.0,0.0626808530906718,0.8410404624277457,0.4744027303754266,0.0429393564486895,0.5,0.4995151906916613,0,2
279,0.0092945716982012,0.0,0.0,0.0063217756092189,0.1417830290010741,0.2578125,9.001200117165502e-06,0.0,0.0,0.132853716946053,0.2272727272727272,0.37109375,0.0060684247058687,0.0,0.0,0.0875140058902459,1.0,1.0,0,3
280,0.0092945716982012,0.0,0.0,0.0036763678911123,0.4135338345864661,0.37109375,1.3937778268154143e-05,0.3401098901098901,0.20942140296979,0.132853716946053,0.2272727272727272,0.37109375,0.0347798121263896,0.4205202312138728,0.2372013651877133,0.0875140058902459,1.0,1.0,0,2
281,0.0114153000932723,0.5,0.5,0.0036763678911123,0.4135338345864661,0.37109375,6.418711908335179e-06,0.0,0.4838709677419355,0.0702385225099872,0.0,0.0,0.0132616130083793,0.0,0.4445392491467577,0.0020823236303575,0.0,0.0,0,2
329,0.0120093384637279,0.0,0.0,0.0056057078640236,0.8270676691729323,0.7421875,8.789217212547364e-06,0.0,0.0,0.2019994362642845,0.4545454545454545,0.7421875,0.0056744431321954,0.0,0.0,0.0030693542671789,0.0,0.0,0,3
340,0.0145546032375394,0.0,0.0,0.0052778007883314,0.8270676691729323,0.7421875,3.043768432211497e-05,0.6802197802197802,0.9027137736815156,0.1046331003303866,0.2272727272727272,0.37109375,0.0730877247348842,0.8410404624277457,0.9189419795221844,0.010877053925342,0.1391408114558472,0.0627020038784744,0,2
341,1.0,0.5,0.5,0.0014551264302164,0.0,0.0,3.043768432211497e-05,0.6802197802197802,0.9027137736815156,0.1046331003303866,0.2272727272727272,0.37109375,0.0730877247348842,0.8410404624277457,0.9189419795221844,0.0343549065064264,0.4304295942720764,0.4684065934065934,0,1
342,1.0,0.5,0.5,0.005473111443269,0.0,0.0,8.257818721297884e-07,0.0,0.0,0.0308937555802047,0.0,0.0,0.0010061236901835,0.0,0.0,0.0343549065064264,0.4304295942720764,0.4684065934065934,0,1
349,0.0141392277392199,0.0,0.0,0.0068333534410445,0.8270676691729323,0.7421875,7.031637588356613e-06,0.0,0.0,0.2157193500525801,0.4545454545454545,0.7421875,0.0057748750956498,0.0,0.0,0.0066564282798864,0.0918854415274463,0.0307045895281189,0,3
400,0.0183822678914102,0.1562716562716562,0.3232323232323232,0.0138820396607512,0.8270676691729323,0.7421875,5.303731418116645e-05,0.6802197802197802,0.901689708141321,0.1076857476523991,0.2272727272727272,0.37109375,0.0482518765944852,0.4205202312138728,0.4594709897610921,0.0078945451292765,0.0459427207637231,0.0153522947640594,0,2
401,0.0183822678914102,0.1562716562716562,0.3232323232323232,0.0069190425673987,0.0,0.0,5.303731418116645e-05,0.6802197802197802,0.901689708141321,0.4536161569402716,0.0,0.0,0.0114293248277131,0.0,0.0,0.0541963057679387,0.4540572792362768,0.4842436974789916,0,2
460,0.015693081676374,0.0,0.0,0.0088176673294027,0.8270676691729323,0.7421875,7.4553713351829e-06,0.0,0.0,0.4007492694129159,0.4545454545454545,0.7421875,0.0086436118399092,0.0,0.0,0.0076444293693366,0.0459427207637231,0.0153522947640594,0,3
461,0.0283977525553458,1.0,1.0,0.006956636872912,0.0,0.0,7.4553713351829e-06,0.0,0.0,0.1440071761580322,0.0,0.0,0.0482763150389258,0.4205202312138728,0.2372013651877133,0.1195688727386236,0.9081145584725536,0.9691338073691016,0,2
462,0.0151125841359008,0.0,0.0,0.0111982085083102,0.0,0.0,2.3632961022387534e-05,0.3401098901098901,0.4508448540706605,0.1440071761580322,0.0,0.0,0.0482763150389258,0.4205202312138728,0.2372013651877133,0.1195688727386236,0.9081145584725536,0.9691338073691016,0,2
499,0.0296461204329438,0.0,0.0,0.0092231380690026,0.8270676691729323,0.7421875,8.570333504684858e-06,0.0,0.0,0.4112659718838905,0.4545454545454545,0.7421875,0.0133295347732933,0.0,0.0,0.0115737318284,0.0918854415274463,0.0307045895281189,0,3
522,0.0249288119395039,0.7331947331947332,0.5202020202020202,0.0056120894813369,0.0,0.0,2.236801936007281e-05,0.3401098901098901,0.4513568868407578,0.2367165794405952,0.0,0.0,0.0536324074454827,0.4201073492981007,0.4594709897610921,0.0605578369186482,0.4540572792362768,0.4839204912734324,0,2
573,0.014544434763088,0.0,0.0,0.007768728434025,0.0,0.0,0.0071763558232792,0.1057692307692307,0.0486431131592421,0.2039817226363336,0.0,0.0,0.0168865931381944,0.1589595375722543,0.0810580204778157,0.0110732593685572,0.0,0.0,1,1
574,0.0083426009707407,0.0,0.0,0.0105186438281153,0.0,0.0,0.0071763558232792,0.1057692307692307,0.0486431131592421,0.2039817226363336,0.0,0.0,0.00679020504915,0.0,0.0,0.0055104241169123,0.0,0.0,1,1
575,0.0083426009707407,0.0,0.0,0.0105186438281153,0.0,0.0,0.3087032513721664,0.0,0.0,0.092116526148645,0.0,0.0,0.0130477115247333,0.0,0.0,0.0055104241169123,0.0,0.0,1,1
576,0.0046931570814212,0.0,0.0,0.0016544008558406,0.0,0.0,0.8263283715083188,0.0,0.0,0.1805553717934181,0.0,0.0,0.0086575514244665,0.0,0.0,0.0057020115441698,0.0,0.0,1,1
577,0.0063876629199865,0.0,0.0,0.0016544008558406,0.0,0.0,0.5471113026045334,0.0,0.0,0.1805553717934181,0.0,0.0,0.0086575514244665,0.0,0.0,0.0065410046520487,0.0,0.0,1,1
578,0.0120404504998149,0.0,0.0,0.0022169567371172,0.4135338345864661,0.37109375,0.5471113026045334,0.0,0.0,0.0800184830283896,0.2272727272727272,0.37109375,0.0044969806525075,0.0,0.0,0.0065410046520487,0.0,0.0,1,1
579,0.0120404504998149,0.0,0.0,0.003291079751783,0.0,0.0,0.4989258572358935,0.0,0.0,0.0899892026020272,0.0,0.0,0.0044969806525075,0.0,0.0,0.0045762530308657,0.0459427207637231,0.0153522947640594,1,1
580,0.0100743260990069,0.1334026334026334,0.2398989898989899,0.0083076193739824,0.0,0.0,0.5587459952314332,0.0,0.0,0.0957498246071812,0.0,0.0,0.0037482975619787,0.0,0.0,0.0035332707804108,0.0,0.0,1,1
581,0.0100743260990069,0.1334026334026334,0.2398989898989899,0.0083076193739824,0.0,0.0,0.5598074286029973,0.0,0.0,0.0957498246071812,0.0,0.0,0.0037482975619787,0.0,0.0,0.0099418588444526,0.0,0.0,1,1
582,0.0064424636973638,0.0,0.0,0.0010347795148008,0.0,0.0,0.5598074286029973,0.0,0.0,0.1017318544007644,0.0,0.0,0.0065972361904794,0.0794797687861271,0.0405290102389078,0.0099418588444526,0.0,0.0,1,1
583,0.022369338033547,0.0,0.0,0.0050106929267063,0.0,0.0,0.4675524182838856,0.1057692307692307,0.0486431131592421,0.1017318544007644,0.0,0.0,0.0112929047440209,0.0,0.0,0.0013550396592198,0.0,0.0,1,1
584,0.0101763809801039,0.0,0.0,0.0050106929267063,0.0,0.0,0.4675524182838856,0.1057692307692307,0.0486431131592421,0.0714666490701626,0.0,0.0,0.0112929047440209,0.0,0.0,0.005912834011808,0.0,0.0,1,1
