,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
9,0.2242503944872939,0.0420114576702737,0.1428571428571428,0.1122989494338028,0.0,0.0,0.0037894923768898,0.0,0.0,0.0420610501414735,0.0,0.0,0.0406622209722767,0.8410404624277457,0.4742004264392324,0.4965131617644363,0.3612113157395101,0.3517319520880544,0,3
13,0.0979632826122108,0.0,0.0,0.0894671720060183,0.0,0.0,0.0017661917003589,0.0,0.0,0.2814368708491636,0.8208955223880597,1.0,0.0051970821640323,0.0,0.0,0.8356010679810518,0.0,0.0,0,1
16,0.2311797765488024,0.2450668364099299,0.4112554112554112,0.1337604374719541,0.4268292682926829,0.37109375,0.0069935941678214,0.0258780036968576,0.021505376344086,0.0925637401707772,0.0,0.0,0.009033302188111,0.0520231213872832,0.053731343283582,0.8747497987111424,0.081070818302639,0.0375526060213661,0,1
25,0.233129179686805,0.0,0.0,0.212391665860118,0.8536585365853658,0.7421875,0.0115254579258747,0.0,0.0,0.1018301168365423,0.0,0.0,0.0037164158686952,0.0,0.0,0.875642027096843,0.0730966394531991,0.0307542894140498,0,1
26,0.0987027388556509,0.1225334182049649,0.2056277056277056,0.212391665860118,0.8536585365853658,0.7421875,0.0023180111534732,0.0,0.0,0.1543270302048458,0.0,0.0,0.0037164158686952,0.0,0.0,0.875642027096843,0.0730966394531991,0.0307542894140498,0,1
30,0.2302729137841812,0.0,0.0,0.1069631905888977,0.0,0.0,0.0065344070219919,0.118607516943931,0.0486431131592421,0.2803977165231844,0.0,0.0,0.0082525401001472,0.0,0.0,0.921794722923603,0.0,0.0,0,1
31,0.0606387972644632,0.0,0.0,0.1069631905888977,0.0,0.0,0.0030220685950911,0.0,0.0,0.2803977165231844,0.0,0.0,0.0027794286647012,0.0,0.0,0.921794722923603,0.0,0.0,0,1
33,0.0553658901181297,0.0,0.0,0.1908631976278672,0.0,0.0,0.0102859365898753,0.0,0.0,0.1715955258204974,0.0,0.0,0.001702176521391,0.0,0.0,0.9176030077434112,0.0,0.0,0,1
34,0.0553658901181297,0.0,0.0,0.1908631976278672,0.0,0.0,0.0050647526951482,0.0,0.0,0.1715955258204974,0.0,0.0,0.0048686000133784,0.0,0.0,0.9176030077434112,0.0,0.0,0,1
36,0.110066468752597,0.0,0.0,0.3357509260644242,0.8536585365853658,0.7421875,0.0030901980973671,0.0,0.0,0.0725617711730321,0.0,0.0,0.0030051668788329,0.0,0.0,0.7086589518329128,0.0730966394531991,0.0307542894140498,0,1
