,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,security_cpu,security_rx,security_tx,label,class
25,0.1091016480877351,0.0,0.0,7.717359560064818e-06,0.0335658238884045,0.1930894308943089,0.0314255083275081,0.0,0.0,0.178420239173584,0.0,0.0,0.0038844855072157,0.0,0.0,0.0086717485160042,0.0459427207637231,0.0153622250970245,0,2
26,0.1756358217373138,1.0,1.0,1.2703995674818164e-06,0.0,0.0,0.0448730768660426,0.3171106557377049,0.20942140296979,0.1118123047928762,0.3525641025641026,0.37109375,0.0326968391759596,0.8092967818831943,0.4742004264392324,0.0885068462137763,0.9081145584725536,0.9694372574385512,0,3
27,0.1756358217373138,1.0,1.0,2.077340884348018e-05,0.0,0.0,0.0448730768660426,0.3171106557377049,0.20942140296979,0.1339110041132708,0.0,0.0,0.0112017041865268,0.0,0.444776119402985,0.0885068462137763,0.9081145584725536,0.9694372574385512,0,2
39,0.1179931499026609,0.0,0.0,9.16296076742356e-06,0.0,0.0,0.0196223084745509,0.0,0.0,0.1077158167886788,0.0,0.0,0.0042393082514291,0.0764799364322606,0.0405117270788912,0.0126710006387099,0.0,0.0,0,2
85,0.2125173495616395,0.0,0.0,6.750366125764108e-06,0.0335658238884045,0.1930894308943089,0.0110333734947577,0.0,0.0,0.1186623424112379,0.3525641025641026,0.37109375,0.002597744213633,0.0,0.0,0.0059415771891736,0.0459427207637231,0.0153622250970245,0,2
86,0.2125173495616395,0.0,0.0,7.537951442910489e-06,0.0,0.0,0.0110333734947577,0.0,0.0,0.2021894134010463,0.0,0.0,0.0351329573090642,0.8092967818831943,0.918550106609808,0.0838414712731602,0.9081145584725536,0.7027813712807245,0,3
87,0.0982213827829265,0.5,0.5,1.2010907194562804e-05,0.0,0.0,0.0500758206868107,0.3171106557377049,0.4503328213005632,0.2021894134010463,0.0,0.0,0.0351329573090642,0.8092967818831943,0.918550106609808,0.0838414712731602,0.9081145584725536,0.7027813712807245,0,2
147,0.2706394792416644,0.7331947331947332,0.5202020202020202,1.1947313695900018e-05,0.0,0.0,0.0275882771432986,0.3171106557377049,0.20942140296979,0.1554137957916933,0.0,0.0,0.0363704065452511,0.8092967818831943,0.4742004264392324,0.0406523959309107,0.4540572792362768,0.4850420439844761,0,3
205,0.1932297210863083,0.0,0.0,6.658543317938813e-06,0.0335658238884045,0.1930894308943089,0.0153786879670036,0.0,0.0,0.2608126494216177,0.7051282051282052,0.7421875,0.0076748048681279,0.0,0.0,0.0125856529976612,0.0,0.0,0,2
207,0.1554785728142936,0.7331947331947332,0.5202020202020202,1.214598598996634e-05,0.0,0.0,0.0190238578820166,0.0,0.0,0.0309041338124724,0.0,0.0,0.0199069975473047,0.4046483909415971,0.4594882729211087,0.0824909903268265,0.9081145584725536,0.7027813712807245,0,3
266,0.1666566089497741,0.2668052668052668,0.4797979797979798,2.0085916591107147e-05,0.0,0.0,0.0140305342864095,0.0,0.0,0.0749064026699137,0.0,0.0,0.0036480480212413,0.0,0.0,0.005502687100761,0.0459427207637231,0.0153622250970245,0,2
362,0.061968954348383,0.0,0.0,7.182051203174663e-06,0.0,0.0,0.0168265560822302,0.0,0.0,0.0706517535848813,0.0,0.0,0.0040512381317715,0.0,0.0,0.0047518554266255,0.0,0.0,0,2
508,0.1421213006745103,0.7331947331947332,0.5202020202020202,7.1665778192073454e-06,0.0,0.0,0.0201159493923416,0.0,0.0,0.2387896663350311,0.0,0.0,0.0051879598121604,0.0,0.0,0.0065942306302163,0.0157517899761336,0.0053363518758085,0,2
509,0.1421213006745103,0.7331947331947332,0.5202020202020202,7.1665778192073454e-06,0.0,0.0,0.0201159493923416,0.0,0.0,0.2387896663350311,0.0,0.0,0.0382735837579351,0.9622566547477156,1.0,0.0850008757091166,0.8766109785202865,0.958602846054334,0,2
568,0.0577631484004845,0.1334026334026334,0.2398989898989899,9.670505133434103e-06,0.0,0.0,0.0107131464386766,0.0,0.0,0.0741654044716352,0.0,0.0,0.0038308817676629,0.0,0.0,0.0051753947172445,0.0,0.0,0,2
569,0.0973669569290156,0.3665973665973666,0.2601010101010101,6.499987664102107e-06,0.0,0.0,0.0107131464386766,0.0,0.0,0.0741654044716352,0.0,0.0,0.0355229785431954,0.9622566547477156,1.0,0.0893742760802556,0.9081145584725536,0.969922380336352,0,3
570,0.2258829751273861,0.0,0.0,8.650428189420343e-06,0.0,0.0,0.0535546515102912,0.4157274590163934,0.4994879672299027,0.0967733902063565,0.0,0.0,0.0355229785431954,0.9622566547477156,1.0,0.0893742760802556,0.9081145584725536,0.969922380336352,0,2
652,0.1008439984739155,0.0,0.0,1.4390917147931822e-05,0.0,0.0,0.0116545828264545,0.0,0.0,0.0784902012829841,0.0,0.0,0.0085358516920502,0.0,0.0,0.0029382355211123,0.0,0.0,0,2
747,0.0606390313252033,0.1334026334026334,0.2398989898989899,7.236586505930361e-06,0.0,0.0,0.0271755626943058,0.0,0.0,0.1496670960604665,0.0,0.0,0.0074027189467682,0.0,0.0,0.006355355049206,0.0459427207637231,0.0153622250970245,0,2
749,0.1408412101579387,0.7331947331947332,0.5202020202020202,9.860851332358434e-06,0.0,0.0,0.0055105900290391,0.0,0.0,0.0724307370476515,0.0,0.0,0.0046325499613867,0.0,0.0,0.0041578404361922,0.0,0.0,0,2
750,0.1408412101579387,0.7331947331947332,0.5202020202020202,5.544273544978858e-06,0.0,0.0,0.1019257337011058,0.8314549180327869,1.0,0.1701199147152141,0.0,0.0,0.0188907797660175,0.4811283273738577,0.5002132196162047,0.0444843413253881,0.4540572792362768,0.4848803363518758,0,2
843,0.0836473189319309,0.0,0.0,7.562265874252875e-06,0.0,0.0,0.0108516198377399,0.0,0.0,0.0989893468264457,0.0,0.0,0.0050267943057324,0.0,0.0,0.0124505300454313,0.0,0.0,0,2
869,0.081129913200703,0.0,0.0,1.011382316791712e-05,0.0,0.0,0.0153524504087307,0.0,0.0,0.1913165931623677,0.0,0.0,0.0051097826729026,0.0,0.0,0.0105661846827234,0.0,0.0,0,2
870,0.0675027389875561,0.0,0.0,6.179048338021386e-06,0.0,0.0,0.1068407311573511,0.8314549180327869,1.0,0.0631572385647604,0.0,0.0,0.0186895053411839,0.4811283273738577,0.2776119402985074,0.0789464531884382,0.9081145584725536,0.7027813712807245,0,3
871,0.3167215856415553,0.7331947331947332,0.5202020202020202,6.179048338021386e-06,0.0,0.0,0.1068407311573511,0.8314549180327869,1.0,0.1400178006622811,0.0,0.0,0.0186895053411839,0.4811283273738577,0.2776119402985074,0.0078032107570965,0.0,0.2674644243208279,0,2
930,0.0653622455967723,0.0,0.0,8.449249380870138e-06,0.0,0.0,0.0198370816301273,0.0986168032786885,0.0486431131592421,0.1719978938667221,0.0,0.0,0.003803431551268,0.0,0.0,0.0769135703922036,0.9081145584725536,0.7027813712807245,0,2
931,0.0653622455967723,0.0,0.0,9.629370997225884e-06,0.0,0.0,0.0822680396624735,0.6342213114754098,0.9027137736815156,0.1719978938667221,0.0,0.0,0.0341139335686411,0.8092967818831943,0.9189765458422174,0.007544502903514,0.0,0.2673027166882277,0,2
940,0.1256742691004325,0.0,0.0,8.918377069444589e-06,0.0,0.0,0.0297559094184845,0.197233606557377,0.0972862263184843,0.1201746562374708,0.0,0.0,0.0027202569243888,0.0,0.0,0.0082192892405953,0.0,0.0,0,2
972,0.123585264498991,0.0,0.0,9.76516948490697e-06,0.0,0.0,0.0140789214976707,0.0,0.0,0.0639609598127001,0.0,0.0,0.0036162117222577,0.0,0.0,0.0027111075922495,0.0,0.0,0,2
991,0.2899226429548429,0.7331947331947332,0.5202020202020202,6.181536239773951e-06,0.0,0.0,0.0154881126408362,0.0,0.0,0.0990195095753579,0.0,0.0,0.0183016027479154,0.4046483909415971,0.2371002132196162,0.0818159744264492,0.9081145584725536,0.9695989650711514,0,3
992,0.2899226429548429,0.7331947331947332,0.5202020202020202,1.79993797766403e-05,0.0,0.0,0.0422335433642064,0.3171106557377049,0.4513568868407578,0.0990195095753579,0.0,0.0,0.0080919787169275,0.0,0.4452025586353944,0.0818159744264492,0.9081145584725536,0.9695989650711514,0,2
1079,0.0123248318981043,0.0,0.0,0.4701568195451189,0.0,0.0,0.0161855163102852,0.0,0.0,0.0272366529062659,0.0,0.0,0.0018349732741426,0.0764799364322606,0.0405117270788912,0.0024349379566516,0.0,0.0,1,1
1080,0.0505629993062335,0.0,0.0,0.5156079563537307,0.0,0.0,0.0098317401786435,0.0986168032786885,0.0486431131592421,0.0601906935390463,0.0,0.0,0.0030715793054377,0.0,0.0,0.0050583024647637,0.0,0.0,1,1
1081,0.0964498083680876,0.0,0.0,0.5384015395404068,0.0,0.0,0.0098317401786435,0.0986168032786885,0.0486431131592421,0.0601906935390463,0.0,0.0,0.0030715793054377,0.0,0.0,0.0050583024647637,0.0,0.0,1,1
1082,0.1010162518782606,0.0,0.0,0.9466339606150956,0.0,0.0,0.0033170598782544,0.0,0.0,0.0215817562082671,0.0,0.0,0.0005344856150963,0.0,0.0,0.0024874879894105,0.0,0.0,1,1
1083,0.1010162518782606,0.0,0.0,0.9466339606150956,0.0,0.0,0.0073409056956796,0.0,0.0,0.1317078859965648,0.0,0.0,0.005329100973846,0.0,0.0,0.0024874879894105,0.0,0.0,1,1
1084,0.0405820235137418,0.0,0.0,0.4631475573623625,0.0335658238884045,0.1930894308943089,0.0073409056956796,0.0,0.0,0.1317078859965648,0.0,0.0,0.0035607302575257,0.0,0.0,0.0023201064035857,0.0,0.0,1,1
1085,0.1637072734864132,0.0,0.0,0.4631475573623625,0.0335658238884045,0.1930894308943089,0.0091008484828096,0.0,0.0,0.0416631090091026,0.3525641025641026,0.37109375,0.002223017582519,0.0,0.0,0.0062730615980954,0.0918854415274463,0.0307244501940491,1,1
1086,0.1637072734864132,0.0,0.0,0.4624528015970656,0.0,0.0,0.0089679857044663,0.0,0.0,0.0416631090091026,0.3525641025641026,0.37109375,0.002223017582519,0.0,0.0,0.0062730615980954,0.0918854415274463,0.0307244501940491,1,1
1087,0.0677411716889719,0.1334026334026334,0.2398989898989899,0.4624528015970656,0.0,0.0,0.0089679857044663,0.0,0.0,0.0335676592221908,0.0,0.0,0.0025141145855998,0.0,0.0,0.002432682247743,0.0,0.0,1,1
1088,0.0677411716889719,0.1334026334026334,0.2398989898989899,0.3870606351328275,0.0,0.0,0.0038667718636577,0.0,0.0,0.0335676592221908,0.0,0.0,0.0025141145855998,0.0,0.0,0.002432682247743,0.0,0.0,1,1
1089,0.0049475325635987,0.0,0.0,0.5592879442283055,0.0,0.0,0.0038667718636577,0.0,0.0,0.046722175405511,0.0,0.0,0.0019684015910822,0.0764799364322606,0.0405117270788912,0.0038029904761424,0.0,0.0,1,1
1090,0.1709286662070361,0.0,0.0,0.8007648123549862,0.0,0.0,0.011481848330093,0.0986168032786885,0.0486431131592421,0.0411995307604353,0.0,0.0,0.002920121283899,0.0,0.0,0.0038028407609494,0.0,0.0,1,1
1091,0.1709286662070361,0.0,0.0,0.8007648123549862,0.0,0.0,0.0082543943986186,0.0,0.0,0.0411995307604353,0.0,0.0,0.002920121283899,0.0,0.0,0.0044455980277318,0.0,0.0,1,1
1092,0.0306678031166632,0.0,0.0,0.3655994215726452,0.0,0.0,0.0082543943986186,0.0,0.0,0.0290896511144439,0.0,0.0,0.0023042911968838,0.0,0.0,0.0044455980277318,0.0,0.0,1,1
1093,0.0306678031166632,0.0,0.0,0.6588284461464896,0.0,0.0,0.004100871792069,0.0,0.0,0.0606985878265001,0.0,0.0,0.0023042911968838,0.0,0.0,0.0007726501682686,0.0,0.0,1,1
1094,0.0188158039329945,0.0,0.0,0.7108313564430849,0.067131647776809,0.3861788617886179,0.0053865355738302,0.0,0.0,0.0606985878265001,0.0,0.0,0.0017598359239486,0.0,0.0,0.00608703548023,0.0,0.0,1,1
1095,0.1004986275177117,0.0,0.0,0.7108313564430849,0.067131647776809,0.3861788617886179,0.0138885352154533,0.0,0.0,0.0583428771364507,0.3525641025641026,0.37109375,0.0018626006344224,0.0,0.0,0.0071504125913671,0.0918854415274463,0.0307244501940491,1,1
