,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,orders_ctn_read,carts_ctn_read,label,class
15,0.4428785641519303,0.9865263662083114,0.8464319102524147,0.9848617551639908,0.9861748369398916,0.9335379167161824,0.8462744735110234,0.9297663602309264,0.9590530319440574,0.0789473684210531,0.7344395706432377,0.7335019494290979,0.101400767675864,0.8421948222076889,0.865724381625455,0.8053549711779018,0.9904954687672636,0.9879461679147384,0.8627123032949077,0.9360748729751904,0.9999624920295564,0.7846371664229901,0.974911927329224,0.9754374085735033,0.0059330915599205,0.0269924722859227,0.0,0.9868921137778016,0.9893612573546844,0.8528461828165641,0.814573693454868,0.9999593032720168,0.9699941716112592,0.9630124322767843,0.0,0.0,0,2
16,0.434427952149239,0.8827241852921948,0.8464319102524147,0.9844616750769009,0.9862864060302988,0.9335379167161824,0.6185108205876755,0.9297663602309264,0.9543703522609048,0.0789473684210531,0.8162611485060777,0.8154919621997071,0.101400767675864,0.8421948222076889,0.865724381625455,0.7227780507074589,0.9904954687672636,0.9879461679147384,0.8627123032949077,0.9297441983300124,0.9999624920295564,0.7458244179925388,0.9803271563252316,0.9799594073579936,0.0054141435791608,0.0268935508860148,0.0,0.9796818406355028,0.9741055983764216,0.8528461828165641,0.7795935216303945,0.9999593032720168,0.9864984316368838,0.9827259591779128,0.0,0.0,0,2
17,0.434427952149239,0.9840935124289748,0.8441882206294795,0.9844616750769009,0.9862864060302988,0.9335379167161824,0.7197872959162479,0.9297663602309264,0.9480164441253236,0.0789473684210531,0.9863618640729708,0.9858264232631796,0.1012450630142428,0.8421948222076889,0.865724381625455,0.8783128799492598,0.9902772168918011,0.9918031679529264,0.8605288366837612,0.9309182018050306,0.9999624920295564,0.7458244179925388,0.9803271563252316,0.9799594073579936,0.0054141435791608,0.0265915447805789,0.0,0.983550964081718,0.9726129932471194,0.8528461828165641,0.8461718936490649,0.9999593032720168,0.7785856663491469,0.7756082738981744,0.0,0.0,0,2
28,0.4415119938172192,0.9807967774618964,0.8865690246182609,0.9766846342580696,0.9775057499367424,0.912829456826866,0.2669919868502157,0.9154547982657556,0.9277268989327444,0.0789473684210531,0.9744676000726952,0.9742275189125484,0.0987618468902252,0.8156505232867587,0.7385159010600546,0.7450393936101755,0.9805449299196378,0.9731748029374544,0.8515792836127648,0.7793844176108555,0.9999624920295564,0.6726435786578101,0.9803410977410382,0.979595295612196,0.0053074303918942,0.0212922429870645,0.0,0.9757914501793522,0.9667238377978614,0.8256692555363804,0.8491138615101571,0.9999593032720168,0.9237292498617838,0.916328428270706,0.0,0.0,0,2
29,0.4415119938172192,0.9811536233435796,0.8865690246182609,0.9766846342580696,0.9775057499367424,0.912829456826866,0.3508077297898141,0.9154547982657556,0.9295880397112138,0.0789473684210531,0.9790927151887314,0.978768189477504,0.0996803854522945,0.8156505232867587,0.7385159010600546,0.8692217357948172,0.98283770154965,0.9754648858174908,0.8515954759511817,0.8187588467727497,0.9999624920295564,0.7850272739483317,0.9803410977410382,0.979595295612196,0.0053074303918942,0.0254266680407302,0.0,0.9785508066293822,0.9677890940402264,0.8256692555363804,0.8435455118853912,0.9999593032720168,0.7454918422290782,0.7395190400007555,0.0,0.0,0,2
30,0.4415119938172192,0.9873102978382796,0.8355250856964784,0.9766846342580696,0.9775057499367424,0.9027028771291904,0.6484697478452425,0.9203080673592564,0.9274041833465988,0.0789473684210531,0.9790927151887314,0.978768189477504,0.0996803854522945,0.8334789288578026,0.805653710247384,0.7439253877963805,0.9859582708217028,0.9796257515842308,0.8515954759511817,0.9056184704113625,0.9999624920295564,0.6316014660544883,0.9762497095817888,0.9786917269446398,0.0053074303918942,0.0259273102334193,0.0,0.9785508066293822,0.9677890940402264,0.812779240703612,0.7413186261493808,0.9999593032720168,0.6794941041844875,0.6694675825783658,0.0,0.0,0,2
51,0.4507691491848809,0.9920048975746932,0.8868183234652536,0.9827694718060128,0.9843811762748796,0.9094036341985876,0.5267577725132786,0.9403012092124344,0.9544684986259702,0.0815789473684205,0.9816056849097669,0.9814678854744022,0.1002629183102319,0.7598367182768816,0.7773851590105778,0.5838516318210274,0.9848540138540772,0.9847119247717356,0.8539309017742337,0.9025421549120228,0.9999624920295564,0.7464058063310681,0.977209224003129,0.9802690131176848,0.0047955853444244,0.026249284651039,0.0,0.8386948883487269,0.8367545692386625,0.8614382115683328,0.9141787229527274,0.9999593032720168,0.9716656570382444,0.969391163125262,0.0,0.0,0,2
100,0.4392210813362887,0.9947591862923564,0.8008725459644745,0.9843919977362554,0.9857707321129338,0.8520086363149062,0.3998246180827987,0.9123363102474308,0.9595916390465274,0.0815789473684205,0.989359527811032,0.9890174455932668,0.0987427130281211,0.8171423963496114,0.8233215547703594,0.6797720230047334,0.9854808158982395,0.9892531153123852,0.8482960058495713,0.9228111815237532,0.9999624920295564,0.7780575298048595,0.9766470940169714,0.980127410993456,0.0035504019227088,0.0263387025517404,0.0,0.6039774843213959,0.5946541447752062,0.8351020097231615,0.6617685558061678,0.9999593032720168,0.9706585152453152,0.960053349491302,0.0,0.0,0,2
124,0.4298705076099515,0.884781499790367,0.9753817388594576,0.715601173869733,0.7142114636721067,0.8623366730938753,0.642668499871412,0.9202533898033404,0.919941713853473,0.0815789473684205,0.9911897049210868,0.9905474132974984,0.0992924142361074,0.8371008075480095,0.6501766784452911,0.6999172722028846,0.9858348043407412,0.9818282677168392,0.8481442660106302,0.919111472164084,0.9999624920295564,0.797074021726825,0.9851451114265752,0.9823432092650408,0.002574041354776,0.0258324888990207,0.0,0.9896579392819504,0.9883818244904812,0.8046629090396724,0.872047425118542,0.9999593032720168,0.9237193332714078,0.9023171885676664,0.0,0.0,0,2
134,0.452831751289046,0.9892584143390928,0.8756622000623246,0.9805786471683032,0.9831360312680408,0.8951597234504765,0.8652071068124473,0.9243501091254328,0.9570152501796028,0.0815789473684205,0.9758346343345116,0.9752962876111294,0.099252676583375,0.825658526841341,0.4522968197879891,0.6828585418513178,0.979067883561154,0.9741026000141636,0.8557725644795231,0.9065554037154908,0.9999624920295564,0.7944087255864749,0.9737935985516272,0.9761250497536365,0.0013582970438187,0.0249004203183752,9.30189293521233e-05,0.7309973285603315,0.7310078517515052,0.8071561185207861,0.8427509741856325,0.9999593032720168,0.9150820164177688,0.9383846947575648,0.0,0.0,1,1
135,0.452831751289046,0.9892584143390928,0.8756622000623246,0.9805786471683032,0.9831360312680408,0.8747695633106898,0.6278142815730989,0.9193081987150836,0.9438452615504584,0.0815789473684205,0.9779449166016624,0.977207733046497,0.099252676583375,0.7217238718499756,0.4558303886925614,0.6828585418513178,0.979067883561154,0.9741026000141636,0.8557725644795231,0.9058011928622464,0.9999624920295564,0.7878645223921109,0.9737935985516272,0.9761250497536365,0.0013582970438187,0.0484428141479884,0.0248360541370168,0.650222804279782,0.6502321646681275,0.8068582406896722,0.8466807328258947,0.9999593032720168,0.9150820164177688,0.9383846947575648,0.0,0.0,1,1
136,0.4618403218390108,0.9889877800541264,0.8756622000623246,0.9805786471683032,0.9831360312680408,0.8747695633106898,0.6278142815730989,0.9193081987150836,0.928256521236438,0.0815789473684205,0.95129098144575,0.9507933835842074,0.099252676583375,0.8122044376953902,0.5194346289753184,0.7683895210700509,0.979067883561154,0.9741026000141636,0.8557725644795231,0.910292741573496,0.9999624920295564,0.7878645223921109,0.9794317048260024,0.9762719450083374,0.1650137903870716,0.0552859870818858,0.0248360541370168,0.5591071434887528,0.5656141284704899,0.8068582406896722,0.8241836376678969,0.9999593032720168,0.9018498390428086,0.9141643005998068,0.0,0.0,1,1
137,0.4618403218390108,0.9623476345173276,0.8105328762854471,0.9844124674766044,0.9853393448496804,0.8747695633106898,0.6278142815730989,0.9193081987150836,0.8321270561795242,0.0815789473684205,0.95129098144575,0.9507933835842074,0.1921841317766797,0.8149249216187445,0.5194346289753184,0.6385761722067265,0.9212356120604546,0.9180054862966128,0.8554303450755443,0.8904742088709295,0.9999624920295564,0.7878645223921109,0.9794317048260024,0.9762719450083374,0.1650137903870716,0.0529794897640727,0.0248360541370168,0.9493005357646674,0.9578317807587994,0.8068582406896722,0.8186910584593371,0.9999593032720168,0.7104032330084404,0.71333286002643,0.0,0.0,1,1
138,0.4618403218390108,0.8187242097574391,0.8156435026488,0.9225516264907694,0.9249400034447736,0.8917428619294747,0.6278142815730989,0.9224253132576684,0.8977774959066133,0.0815789473684205,0.7789505024220309,0.7781081373719582,0.1921841317766797,0.795134442231026,0.6077738515900819,0.7800220261810092,0.9212356120604546,0.9180054862966128,0.8554303450755443,0.8866740025433498,0.9999624920295564,0.8710812316255587,0.745732973455214,0.7407706507025045,0.1650137903870716,0.2049465948722737,0.1154132365936468,0.9493005357646674,0.9578317807587994,0.8308344139847098,0.8127060684436431,0.9999593032720168,0.8643673926216064,0.8789452085133136,0.0,0.0,1,1
139,0.5211758878235374,0.9194201445374112,0.8156435026488,0.9225516264907694,0.9249400034447736,0.8917428619294747,0.7103614536866962,0.9224253132576684,0.8796327066227321,0.0815789473684205,0.9013332311090992,0.9011862783162756,0.1921841317766797,0.7685045040688043,0.7385159010600546,0.7800220261810092,0.9212356120604546,0.9180054862966128,0.8554303450755443,0.7929551442729483,0.9999624920295564,0.779254999061806,0.6640572556448522,0.6584649524863674,0.3897110839360647,0.4095645158102088,0.181247383842612,0.9406142646294366,0.9480392967422886,0.8308344139847098,0.8008687988685708,0.9999593032720168,0.8643673926216064,0.8789452085133136,0.0,0.0,1,1
