,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_read,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_read,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,label,class
17,0.0399094350663501,0.9679020546486722,0.6139431121026213,0.990958507960222,0.9885269284379632,0.0027069486417005,0.4746448755560497,0.91524460368284,0.9294344718753657,0.0,0.98442606444659,0.984027712069828,0.0271986167168948,0.8291864611613476,0.75,0.0,0.5888385546576886,0.8355426980628711,0.8343622827007265,0.9633077778644,0.9442036256976668,0.9976534488045103,0.0,0.5923725506495596,0.8285449882143112,0.8275724342141881,0.1564746713297187,0.9000455168900218,0.4873294346978554,0.9735061841865864,0.9636173823524392,0.9653330451209852,0.8385252931924586,0.0,0.951034554851422,0.9438182792123312,0,2
51,0.0396259662064665,0.961436528218936,0.6778583379810375,0.6616979056531631,0.6581305149296557,0.0026936185426858,0.6343024036524776,0.9101739885289069,0.7820414631138278,0.0,0.9822670726760075,0.9818021070286528,0.0271865424662135,0.9004095877151591,0.8356164383561691,0.0,0.360833637447173,0.9819489270740396,0.9896162291310427,0.9564059169293918,0.7689741074889281,0.9976534488045103,0.0,0.6068234102677651,0.9642404716293614,0.9744481474367296,0.0313707699026459,0.700511119974616,0.4873294346978554,0.969352098681364,0.9628681618485936,0.9027887839278588,0.922216753375792,0.0183486238531713,0.976035477660958,0.9763069021515084,0,2
62,0.0401265805908999,0.9931112570687431,0.6965978806469604,0.9831412515641588,0.9818646852792868,0.0026124568412081,0.5210406141763549,0.9020660372221916,0.9331349891142942,0.0,0.9839676459578424,0.9840500947525124,0.0266663578684298,0.8899519877221748,0.8116438356164508,0.0,0.3769745057611923,0.9774441387210938,0.976349406412732,0.953704834888973,0.8721621111560914,0.9976534488045103,0.0,0.5783737758081422,0.7690607777794733,0.7712855442460859,0.1092176605050296,0.7411986451962745,0.4873294346978554,0.9708856888623,0.9622119666782418,0.9006133881729116,0.9161915168986522,0.0183486238531713,0.9715812067633544,0.9616696608630708,0,2
63,0.0403104967378382,0.9975120663021182,0.6965978806469604,0.9831412515641588,0.9818646852792868,0.0026124568412081,0.5210406141763549,0.9020660372221916,0.9354620017522146,0.0,0.9853584625992632,0.9855537617997334,0.0266663578684298,0.8922166862861625,0.8116438356164508,0.0,0.3769745057611923,0.9774441387210938,0.976349406412732,0.953704834888973,0.9345756256591394,0.9976534488045103,0.0,0.577419590094192,0.9656062016356322,0.9717521620477398,0.0646029487821691,0.6228379272380603,0.4873294346978554,0.8151703589943626,0.7929239732269667,0.9006133881729116,0.9161915168986522,0.0183486238531713,0.9619668103643566,0.9560796500297564,0,2
64,0.0403104967378382,0.9975120663021182,0.6965978806469604,0.8068922259103907,0.8057540792622379,0.0026124568412081,0.5210406141763549,0.9020660372221916,0.7663452661402564,0.0,0.9853584625992632,0.9855537617997334,0.0265138184383621,0.8183652161770798,0.8116438356164508,0.0,0.5927720487212901,0.7635490040244947,0.7620863332438707,0.9512584172971282,0.931437239211327,0.9976534488045103,0.0,0.577419590094192,0.9682213327369716,0.9751136820960216,0.0646029487821691,0.7827101935769153,0.4873294346978554,0.971165125672569,0.9631213936003042,0.9006133881729116,0.8274199536569651,0.0183486238531713,0.9619668103643566,0.9560796500297564,0,2
69,0.0408663463725397,0.9844535774412964,0.7005019520356948,0.7994092309272991,0.7995294074369884,0.0027459508330434,0.5399056548318832,0.9064500438526584,0.7465125651456922,0.0,0.98956240832563,0.9891694873899844,0.0270817955830127,0.92784608342527,0.7979452054794365,0.0,0.7249251244710483,0.9867388183402126,0.9873170123597104,0.96016527734263,0.9493569753997276,0.9976534488045103,0.0,0.8055120965631903,0.9779056995157998,0.9795887661486388,0.0347302657499755,0.8669200710273018,0.4873294346978554,0.9780886080057904,0.9653826370369004,0.8905666616909511,0.8889318739667621,0.0183486238531713,0.9469631053697116,0.938418333122812,0,2
79,0.04089530549717,0.983808550318856,0.6847741215839376,0.9834748329355776,0.9809976562664124,0.0028218768315951,0.7901695156996155,0.9419663794239136,0.9208849508115762,0.0,0.9805416323709945,0.9804685733718638,0.0277408203739042,0.8477621414809079,0.8698630136985912,0.0,0.7299830025899038,0.977098573589658,0.9781762862857338,0.9723724132988062,0.99769688973926,0.9976534488045103,0.0,0.8389917728194695,0.9655035254183212,0.9714682172190284,0.1133232723995389,0.8824733133393512,0.4873294346978554,0.9688747056069092,0.9602832959263364,0.942794372836534,0.8069560776360871,0.0183486238531713,0.9801474445872936,0.9597560962613908,0,2
193,0.040313115431195,0.9801617741871091,0.6861126603457892,0.9803973194907264,0.978708780747642,0.002834505355068,0.7270397561989195,0.9289797888858784,0.8547119609222297,0.0,0.9805814354623116,0.9808387551959654,0.0279132343462944,0.9451627609031064,0.7534246575341967,0.0,0.3671832906209288,0.9459711266870204,0.9400594325071076,0.975437697565837,0.9541115143336392,0.9976534488045103,0.0,0.5869475372064504,0.9622935357837792,0.9649968411330182,0.2712502394676404,0.6969279011165557,0.4873294346978554,0.96917510229017,0.965045433805608,0.8975627969230038,0.7555330696855387,0.0550458715595141,0.916632498804198,0.9117266692857372,1,1
194,0.040313115431195,0.9801617741871091,0.6861126603457892,0.9803973194907264,0.978708780747642,0.0032792112986073,0.7270397561989195,0.9262864804056192,0.9132765657840818,0.0,0.7640445399763467,0.7642450370798165,0.0279132343462944,0.9139099700547656,0.8664383561643945,0.0,0.3671832906209288,0.9358678725852247,0.931078473369626,0.975437697565837,0.7997281969434027,0.9976534488045103,0.0,0.5869475372064504,0.7323896969353128,0.7350382323145854,0.2712502394676404,0.664088801313425,0.4873294346978554,0.96917510229017,0.965045433805608,0.9120000991693432,0.9011055951211544,0.0550458715595141,0.9099520376431972,0.905098474157933,1,1
195,0.0451473277666571,0.8466592001680734,0.6861126603457892,0.9818225813679448,0.9808513486484814,0.0032792112986073,0.7951596355440258,0.9262864804056192,0.9058741678616832,0.0,0.6823294203544874,0.6825084741468195,0.0279132343462944,0.9139099700547656,0.8664383561643945,0.0,0.3671832906209288,0.9358678725852247,0.931078473369626,0.975437697565837,0.7825799209677019,0.9976534488045103,0.0,0.5869475372064504,0.8115331701878504,0.8158853806744246,0.2668375692045426,0.8391192849460446,0.4873294346978554,0.8802550366771811,0.8780297066137681,0.9120000991693432,0.9011055951211544,0.0550458715595141,0.9089711510261618,0.9011401135592664,1,1
